StartupName;Industries;HeadquartersLocation;Description;LastFundingDate;LastFundingAmount;NumberofFundingRounds;LastFundingType;StartupCountry;GeographyRegion;Top5Investors
Cubos Academy;E-Learning Education IT Management Product Management Software;Salvador Sao Paulo Brazil;Cubos Academy offers online classes for individuals related to IT consulting and services.;2022-12-19;4382816;1;Seed;BR;Latin America;Vox Capital Solum Capital
SuaQuadra;Commercial Real Estate Marketplace Real Estate Investment;São Paulo Sao Paulo Brazil;We are a B2B marketplace connecting entrepreneurs property owners and brokers to create a unique commercial rental experience;2023-06-27;4364090;2;Seed;BR;Latin America;Kaszek Canary ONEVC Caravela Capital Lucas Lameiras
Buo Holdings;;San José San Jose Costa Rica;Buo Holdings is a company.;2024-06-17;4332492;1;Seed;CR;Latin America;
Vitalk;Apps Health Care Information Technology Mental Health;São Paulo Sao Paulo Brazil;Vitalk offers emotional & mental health services for employees.;2021-11-05;4329551;1;Series A;BR;Latin America;Valor Capital Group Goodwater Capital Vox Capital Greenrock Capital
Trace Finance;Banking Blockchain Cryptocurrency Financial Services FinTech Venture Capital;São Paulo Sao Paulo Brazil;Cross-Border Payments for High volume companies;2022-02-16;4300000;1;Seed;BR;Latin America;Circle 2TM Stellar Development Foundation Nordstar MANTIS Venture Capital
Minteo;Cryptocurrency;Bogotá Distrito Especial Colombia;Minteo is an NFT marketplace.;2022-09-29;4300000;1;Seed;CO;Latin America;FJ Labs Alliance DAO Big Brain Holdings Fabric Ventures Susquehanna Growth Equity
Grupago;Credit Financial Services Information Technology Internet Payments Publishing;Mexico City Distrito Federal Mexico;AI-driven SMB credit built for LatAm;2024-03-12;4300000;1;Seed;MX;Latin America;Jose Shabot Cherem Clocktower Technology Ventures Precursor Ventures Deciens Capital Twine Ventures
Yo;FinTech;Mexico City Distrito Federal Mexico;The first and only credit card platform in Latin America that offers to unlock the intrinsic value of physical assets.;2022-02-01;4300000;1;Seed;MX;Latin America;DILA Capital Rhombuz VC
Roxom;Bitcoin Blockchain Cryptocurrency FinTech;Buenos Aires Distrito Federal Argentina;Roxom is the first Bitcoin Stock Commodities and Crypto Exchange in human history.;2024-07-01;4300000;1;Pre-Seed;AR;Latin America;Borderless Capital 2TM Draper Associates Cadenza Ventures Newtopia VC
Farmalisto;E-Commerce Health Care;Bogotá Distrito Especial Colombia;First regional pure player Online Pharmacy and support services to pharmaceutical industry in LATAM operating in Mexico and Colombia;2023-06-02;4300000;7;Convertible Note;CO;Latin America;IDB Invest Latin Leap HBM Healthcare Investments HBM Partners Morgan Rio Capital Management
VU;Biometrics Cyber Security Fraud Detection Identity Management Security;Buenos Aires Distrito Federal Argentina;VU is a cybersecurity company that specializes in fraud prevention and identity protection.;2023-04-07;4200000;10;Venture - Series Unknown;AR;Latin America;Wayra Globant NXTP Ventures Telefonica IDB Lab
Angelkids AI;Artificial Intelligence (AI) EdTech Information Services Machine Learning Web Browsers;Mendoza Mendoza Argentina;A safer and smarter portal to your child's digital world;2023-08-06;4200000;1;Seed;AR;Latin America;
Tecpetrol;Energy Renewable Energy;Buenos Aires Distrito Federal Argentina;Tecpetrol is an energy company with experience in oil and gas.;2023-07-13;4160999;2;Debt Financing;AR;Latin America;Itau Unibanco
Nuu;Food and Beverage Food Processing Organic Food;Patos De Minas Minas Gerais Brazil;Nuu is a food based company that makes old-fashioned food with future generations in mind.;2023-08-28;4103322;1;Series A;BR;Latin America;Newlin Gvangels EcoEnterprises Fund Gávea Angels Bioma Food Hub
Autolab;Automotive Autonomous Vehicles;Bogotá Distrito Especial Colombia;Autolab is a tech platform that offers car owners a vehicle repair service and auto repair shops a way to grow and improve ops.;2023-08-08;4100000;6;Venture - Series Unknown;CO;Latin America;Polymath Ventures VU Venture Partners Bullpen Capital Vertical Venture Partners Interplay
Cashbanx;Banking Financial Services FinTech;Belo Horizonte Minas Gerais Brazil;Cashbanx is a specialist in the cashback marketplace for banks fintech and other companies.;2023-08-08;4100000;1;Seed;BR;Latin America;SRM Ventures
Trully;Finance Fraud Detection Identity Management Risk Management;Mexico City Distrito Federal Mexico;TrullyAI is a collective intelligence identity enrichment platform.;2022-11-16;4100000;1;Seed;MX;Latin America;Costanoa Ventures Juan Pablo Ortega Pablo Viguera Adriel Araujo Martin Mexia Ponce
GreenV;Automotive Electric Vehicle Electronics;São Paulo Sao Paulo Brazil;GreenV is are into electric mobility technology.;2021-09-27;4080194;1;Pre-Seed;BR;Latin America;
Somos Internet;Internet Network Security Telecommunications;Medellín Antioquia Colombia;Somos Internet is a network and telecommunications startup that provides latest generation internet with a fast secure stable connection.;2024-01-03;4050767;3;Series A;CO;Latin America;Y Combinator Kaszek FJ Labs MAGIC Fund Nazca Ventures
Liti;Health Care Nutrition;São Paulo Sao Paulo Brazil;Liti is a consumer health platform that guides individuals into the journey towards a healthier life.;2022-11-09;4048583;2;Seed;BR;Latin America;Latitud Everywhere Ventures Canary monashees Norte Ventures
Scalable;Credit Financial Services FinTech SaaS Software;São Paulo Sao Paulo Brazil;Help startups scale their businesses while maintaining greater control of the operation without having to go through unnecessary dilution.;2023-04-17;4047272;1;Debt Financing;BR;Latin America;SRM Ventures
FinanZero;Banking Financial Services FinTech Lending Marketplace Price Comparison;São Paulo Sao Paulo Brazil;FinanZero is an online marketplace that operates as a consumer loan broker enabling users to select banks that offer low-interest loans.;2024-03-05;4033397;8;Venture - Series Unknown;BR;Latin America;Google for Startups VEF 4equity - Media Ventures Webrock Ventures Zentro Founders
Raizs;Agriculture E-Commerce Food and Beverage Grocery Organic Food Retail Technology;São Paulo Sao Paulo Brazil;Raizs is an online sales platform that provides access to organic products and an opportunity to know the origin of the products.;2022-04-27;4028279;3;Series A;BR;Latin America;KPTL Solum Partners WeWork Creator Fund Pedro Navio Marcelo Bazzali
ZiYou;Fitness Subscription Service Wellness;São Paulo Sao Paulo Brazil;ZiYou provides subscription services for sports equipment and content.;2023-04-18;4011392;1;Seed;BR;Latin America;Bertha Capital
Portal Do Medico;E-Commerce Fitness Health Care Hospital Marketplace Medical Wellness;São Paulo Sao Paulo Brazil;Portal Do Medico is a marketplace for doctors health professionals hospitals public clinic and individuals can advertise sell and buy.;2023-05-19;4000040;3;Venture - Series Unknown;BR;Latin America;WOW Aceleradora SRM Ventures KICK Ventures
RobinFood;Food and Beverage Food Delivery Restaurants Retail Technology;Bogotá Distrito Especial Colombia;RobinFood is an operator of a chain of restaurants used to provide access to quality and affordable homemade food.;2024-05-21;4000000;8;Venture - Series Unknown;CO;Latin America;Endeavor Catalyst Seaya Palm Drive Capital Hi Ventures (formerly ALLVP) Owl Rock Capital
Karün;E-Commerce Eyewear Fashion Lifestyle;Curaco De Velez Los Lagos Chile;Karün is a sustainable eyewear company that makes frames from recycled materials.;2020-06-26;4000000;4;Series A;CL;Latin America;Ashurst Blue Luna Caro Rossi
BAYZ;Blockchain Cryptocurrency Metaverse;São Paulo Sao Paulo Brazil;BAYZ is a Play-to-earn gaming guild that helps members earn money by playing video games and being part of a global gaming community.;2021-12-09;4000000;1;Seed;BR;Latin America;BITKRAFT Ventures Arca Yield Guild Games ParaFi Capital Valor Capital Group
Kzas.AI;Artificial Intelligence (AI) Financial Services FinTech Internet Machine Learning Mortgage Real Estate;São Paulo Sao Paulo Brazil;Kzas is a mortgage digital broker that operate with major banks in Brazil providing end-to-end online experience;2020-01-17;4000000;3;Seed;BR;Latin America;Redpoint eventures Roberto Nascimento
Aprova Digital;CivicTech GovTech Information Technology Software;Cascavel Sao Paulo Brazil;Aprova Digital is LATAM's leading Govtech enabling digital transformation for local governments.;2022-12-20;4000000;2;Seed;BR;Latin America;Scale-Up Ventures Astella CAF Vox Capital Endeavor ScaleUp Growth Program
Approva Facil;Commercial Real Estate Consulting Information Technology Real Estate Rental Property Residential;Rio De Janeiro Rio de Janeiro Brazil;Approva Facil is a real estate agency providing commercial and residential property management services.;2022-11-17;4000000;1;Seed;BR;Latin America;Opus Terracotta Ventures Airborne Ventures
Tiba;Software;São Paulo Sao Paulo Brazil;Tiba offers SaaS for small businesses that provides control of sales inventory accounts payable and receivable in one place.;2022-02-09;4000000;1;Seed;BR;Latin America;Canary Global Founders Capital
Gavea Marketplace;Agriculture AgTech Blockchain Sustainability Trading Platform;Rio De Janeiro Rio de Janeiro Brazil;Gavea is a blockchain commodities exchange disrupting a centuries-old industry by promoting sustainable ESG trading;2022-01-12;4000000;2;Seed;BR;Latin America;2TM DOMO.VC Astella Bossanova Investimentos Marcos Viriato
Odd Industries;Artificial Intelligence (AI) Computer Vision Environmental Engineering Life Science Machine Learning Software;Santiago Region Metropolitana Chile;Odd builds Lemu and atlas of the biosphere that uses satellites and AI to help revert the environmental crisis.;2020-12-20;4000000;4;Seed;CL;Latin America;Google for Startups Google Launchpad Accelerator
Vozy;Artificial Intelligence (AI) Enterprise Software SaaS Software Speech Recognition Virtual Assistant;Medellín Antioquia Colombia;Vozy provides a voice AI platform that help evolve conversations at SCALE for the Enterprise.;2022-10-11;4000000;11;Seed;CO;Latin America;Wayra Globant SaxeCap GoHub Ventures Arash Ferdowsi
Kala;Financial Services FinTech;Bogotá Distrito Especial Colombia;Fintech platform serving underbanked customers in LatAm through a B2B2C credit model;2023-04-12;4000000;2;Seed;CO;Latin America;Acrew Capital Clocktower Technology Ventures Canary Cometa 99 Startups
Pulpos;Point of Sale;Guadalajara Jalisco Mexico;Pulpos goal is to provide the greatest product on the market and an interface that allows merchants to set up their store in minutes.;2024-03-30;4000000;1;Seed;MX;Latin America;Andreessen Horowitz Latitud H20 Capital Newtopia VC
Vopero;E-Commerce Fashion Marketplace Online Portals Retail;Mexico City Distrito Federal Mexico;Full-service fashion resale marketplace in LATAM for sellers seeking convenience and buyers seeking the best deals on the brands they love.;2023-10-19;4000000;3;Seed;MX;Latin America;ThredUp Wollef Ventures Luxor Capital Group Grupo Axo Essential Capital
Pacto;FinTech Mobile Payments Payments Point of Sale Restaurants Retail SaaS Small and Medium Businesses;Mexico City Distrito Federal Mexico;Pacto is an embedded software and payments platform for banks in Latin America.;2023-03-29;4000000;2;Seed;MX;Latin America;500 Global Lightspeed Venture Partners Polymath Ventures FEMSA Ventures Kevin Carter
Veloz Bio;Agriculture Alternative Protein Biotechnology Farming;Monterrey Nuevo Leon Mexico;Veloz Bio is a biotechnology company that uses molecular farming to create and manufacture animal-free and alternative proteins.;2023-08-31;4000000;4;Seed;MX;Latin America;IndieBio SOSV Santatera Capital
Intuition;Developer Platform Developer Tools;San Juan NA - Puerto Rico Puerto Rico;Intuition is a decentralised architecture developer tools and applications offered by Intuition enable the development.;2023-06-16;4000000;2;Seed;PR;Latin America;Orange DAO Matrixport ConsenSys Polygon Ventures Shima Capital
Almacén Gurú;Information Technology Retail Software Wholesale;Santiago Region Metropolitana Chile;Almacén Gurú is a technology B2B solution App for the LatAm traditional trade.;2022-01-30;4000000;1;Pre-Seed;CL;Latin America;Genesis Ventures Manutara Ventures
Ábaco;Finance Financial Services FinTech Information Technology Software;San Salvador San Salvador El Salvador;We're reinventing financial services with capital payments & platform solutions so every growing company can reach their full potential.;2024-07-25;4000000;1;Pre-Seed;SV;Latin America;Jeeves Inc. Taptap Send Caricaco VC Bridge Latam Cacao Capital
Orbi;Cryptocurrency Financial Services FinTech;Mexico City Distrito Federal Mexico;Orbi is a financial service provider boosting the traditional financial system with the new virtual economy.;2022-06-01;4000000;1;Pre-Seed;MX;Latin America;
Universidad Uk;EdTech Higher Education;Mexico City Distrito Federal Mexico;Uk University is a leading and innovative 100% online university based in Mexico.;2023-01-13;3996355;2;Debt Financing;MX;Latin America;Altum Capital Adobe Capital
Piwi;Employee Benefits Health Insurance Insurance;São Paulo Sao Paulo Brazil;Like a broker only easier.;2022-10-01;3972308;2;Seed;BR;Latin America;Scale-Up Ventures DNA Capital Roberto Laganá Pinto
Alinea Health;Health Care Information Technology;Brasil Sao Paulo Brazil;Alinea Health is a health-tech startup that provides solutions for corporate health.;2022-03-16;3938942;1;Venture - Series Unknown;BR;Latin America;General Catalyst Latitud Founders Fund Norte Ventures Picus Capital
Leads2b;Artificial Intelligence (AI) Big Data CRM Email Marketing Marketing Automation SaaS Sales Automation Software;Curitiba Parana Brazil;Leads2b is a technology solutions company that specializes in the Go-to-Market (GTM) in the B2B market.;2022-05-06;3935536;3;Private Equity;BR;Latin America;Google for Startups ABSeed Ventures Crescera Capital
Dattos;Accounting Asset Management Banking Financial Services FinTech;São Paulo Sao Paulo Brazil;Dattos specializes in the integration and automation of accounting tax banking assets and data reconciliation processes.;2023-02-23;3892641;2;Series A;BR;Latin America;ABSeed Ventures Igah Ventures Invest Tech GR8 Ventures
ContaFuturo;Financial Services Mobile Apps Personal Finance;Ceará Ceara Brazil;ContaFuturo is a platform that builds financial tools for reducing costs and relieving monthly bills.;2023-02-23;3892641;1;Private Equity;BR;Latin America;Empírica
Finvero;Consumer Lending Financial Services FinTech SaaS;Mexico City Distrito Federal Mexico;Finvero is a fintech company operating a consumer Lending MarketPlace Platform (SaaS format) connecting merchants shoppers and lenders.;2024-04-26;3800000;5;Venture - Series Unknown;MX;Latin America;Wellington Management FJ Labs Conexo Ventures COREangels Pacific
Around;B2B Coworking Information Technology Property Management Sharing Economy Smart Cities Software;Mexico City Distrito Federal Mexico;The operating system for frictionless office space in LatAm.;2022-06-22;3800000;3;Seed;MX;Latin America;Latitud Gaingels Equity Rio Investimentos Pareto Holdings Edward Lando
Zerezes;Consumer Goods Email Eyewear Retail Sales Shopping;Rio De Janeiro Rio de Janeiro Brazil;Zerezes is a consumer goods retail agency that offer eye glasses with a high standard of design and quality at a great price.;2022-11-24;3758551;1;Venture - Series Unknown;BR;Latin America;Shift Capital Order Venture Capital
T&T Fruits;Food and Beverage Food Processing Manufacturing;Huaral Lima Peru;T&T Fruits is a family-owned company that specializes in the processing and packaging of fresh fruits for export.;2022-01-04;3712166;1;Debt Financing;PE;Latin America;Belgian Investment Company for Developing Countries
MDHealth;Education Health Care Management Consulting Medical;São Paulo Sao Paulo Brazil;MDHealth is a medical education company that offers healthcare education.;2021-09-27;3709268;1;Angel;BR;Latin America;
Kryptus;Information and Communications Technology (ICT) Information Services Information Technology Software;Campinas Goias Brazil;Kryptus develops integrates and deploys a wide array of solutions for hardware firmware and software ranging from semiconductors.;2020-07-13;3700000;1;Venture - Series Unknown;BR;Latin America;Fundo Aeroespacial
AgendaPro;Beauty Internet SaaS Wellness;Santiago Region Metropolitana Chile;AgendaPro allows business owners to charge their customers online and easily schedule appointments.;2022-01-18;3700000;9;Series A;CL;Latin America;Y Combinator TMT Investments Fen Ventures Kayyak Ventures James Park
Puna Bio;Agriculture Biotechnology;Buenos Aires Distrito Federal Argentina;Puna Bio develops biological inputs for agriculture that increase yields reduce carbon emissions and restore degraded soil.;2022-09-01;3700000;2;Seed;AR;Latin America;IndieBio SOSV At One Ventures Builders VC AIR Capital
Leadsales;CRM E-Commerce Enterprise Software Information Technology SaaS Social CRM Software;Querétaro Queretaro de Arteaga Mexico;Leadsales is a Conversational Commerce Platform for Businesses to sell through WhatsApp & Social Media.;2023-08-28;3700000;4;Seed;MX;Latin America;Ulu Ventures AngelHub VC Ganas Ventures BluePointe Ventures Cross Ocean Ventures
TEPMED;Financial Services FinTech;Santa Maria Rio Grande do Sul Brazil;TEPMED specialized in creating corporate banking solutions.;2024-08-15;3645445;1;Venture - Series Unknown;BR;Latin America;SRM Ventures
umgrauemeio;Carbon Capture Environmental Engineering Forestry;Jundiaí Sao Paulo Brazil;Umgrauemeio developed Pantera a fire management platform to translate the foundations of fire fighting into tech solutions.;2024-03-26;3600000;4;Venture - Series Unknown;BR;Latin America;SVG Ventures Indicator Capital The Yield Lab LATAM Baraúna Venture Capital Rural Ventures
Portão 3;Business Travel Credit Cards Payments;Uberlândia Minas Gerais Brazil;Porta 3 is a travel management platform for businesses that provides reservations for flights hotels cars and insurance.;2023-01-18;3600000;2;Seed;BR;Latin America;Y Combinator Edward Lando Pareto Holdings Fin Capital Better Tomorrow Ventures
Enerlink;Charging Infrastructure Electric Vehicle Energy Internet of Things Software;Santiago Region Metropolitana Chile;Enerlink provides a hardware-agnostic and multi-purpose Charge Management Software (CMS) for EV businesses (B2B SaaS);2023-10-28;3600000;1;Seed;CL;Latin America;Kayyak Ventures VX Ventures E62 Ventures Inversiones GP Marinetti Family office
Kravata;Blockchain Cryptocurrency IT Infrastructure Payments Software;Bogotá Distrito Especial Colombia;Latam Crypto-as-a-Service;2024-03-07;3600000;3;Seed;CO;Latin America;Circle Framework Ventures Simma Capital Volt Capital Circle Ventures
SenseiNode;Bitcoin Blockchain Cryptocurrency Ethereum IT Infrastructure;Argentina Alajuela Costa Rica;Institutional Grade Nodes as a Service Blockchain Infrastructure in Latin America;2022-04-06;3600000;1;Seed;CR;Latin America;Borderless Capital Newtopia VC Marcos Galperin Martin Migoya Xeibo Ventures
The Kingdom;Blockchain Cryptocurrency Metaverse;América Managua Nicaragua;The Kingdom is an upcoming open-world metaverse focusing on culture-led experiences.;2022-04-07;3600000;1;Seed;NI;Latin America;3Commas Shima Capital Alameda Research Infinity Ventures Crypto Chiron
Nana Delivery;Food Delivery Service Industry;São Paulo Sao Paulo Brazil;Nana Delivery is an app that provides delivery services for groceries which is affordable and accessible to all.;2022-01-11;3600000;1;Pre-Seed;BR;Latin America;Canary Presight Capital MAYA Capital
Vetwork;Software Veterinary;São Paulo Sao Paulo Brazil;Vetwork is a management software provider platform and consultancy system for the management of veterinary clinics and pet shops.;2024-09-09;3580508;1;Debt Financing;BR;Latin America;SRM Ventures
Rebill;E-Commerce FinTech Payments SaaS Subscription Service;Buenos Aires Distrito Federal Argentina;Payments and subscriptions platform for digital businesses and global companies scaling in Latin America.;2022-04-26;3565000;2;Pre-Seed;AR;Latin America;Soma Capital Y Combinator Tiger Global Management SV Angel Start-Up Chile
Alpop;Property Management Real Estate;Campina Sao Paulo Brazil;Alpop connects those who are looking for a home to whom they are renting a property.;2024-09-12;3554165;2;Seed;BR;Latin America;Smart Money Ventures Lucas Vargas Caju Capital
Worc;Human Resources Recruiting Software;São Paulo Sao Paulo Brazil;Worc connect the best professionals to the most renowned restaurants and bars.;2021-12-03;3538946;2;Seed;BR;Latin America;Latitud Gvangels Upload Ventures K50 Ventures Aimorés Investments
DeepSpeed;Industrial Engineering;Lombardía Michoacan de Ocampo Mexico;DeepSpeed is a startup that operates in the nautical sector.;2020-12-01;3515618;3;Equity Crowdfunding;MX;Latin America;
EasyJur;Legal Legal Tech Software;Uberaba Mato Grosso Brazil;EasyJur develops solutions using robots and a reliable algorithm.;2022-01-13;3500000;5;Venture - Series Unknown;BR;Latin America;Google Investidores.VC Google for Startups Anjos do Brasil Bossanova Investimentos
brain4care;Health Care Medical Device Sensor Software Wearables;São Carlos Do Pinhal Sao Paulo Brazil;brain4care solution enables monitoring intracranial compliance noninvasively anywhere;2020-09-01;3500000;4;Series A;BR;Latin America;Green Rock Miletus Fund
REAL PRICE;;São Paulo Sao Paulo Brazil;Solutions for the Real Estate Market Proptechs Banks and Fintechs;2022-10-01;3500000;1;Seed;BR;Latin America;
Cubo;Financial Services Mobile Apps Mobile Payments Payments Point of Sale;San Salvador San Salvador El Salvador;Cubo is a financial solutions company that offers payment applications POS and card payment services.;2023-04-21;3500000;3;Seed;SV;Latin America;Soma Capital Global Founders Capital Simma Capital Seedstars Latin Leap
Sababa;Delivery E-Commerce Food and Beverage Food Delivery Restaurants;Monterrey Nuevo Leon Mexico;Food-tech startup disrupting the last frontier for consumer internet – Food;2020-07-21;3500000;1;Seed;MX;Latin America;Justin Mateen
Bamba;InsurTech;Benito Juárez Coahuila de Zaragoza Mexico;Bamba develops tech solutions for businesses to help their insuranced affiliates solve their unforseen events fast by minimizing costs;2022-10-01;3500000;1;Seed;MX;Latin America;Tadium Invest Genesis Ventures FINCA Ventures Dux Capital Soldiers Field Angels
Neivor;Enterprise Software Financial Services FinTech Property Management SaaS;Mexico City Distrito Federal Mexico;Neivor is a vertical SaaS with payment processing capabilities for residential and multifamily buildings.;2022-03-18;3500000;4;Seed;MX;Latin America;Upload Ventures Crestone Venture Capital Marathon Ventures Two Culture Capital Claire Diaz-Ortiz
Verqor;AgTech Finance Financial Services FinTech;Coyoacán Distrito Federal Mexico;Verqor is a platform that gives cashless credits to farmers for productive purchases.;2023-10-31;3500000;7;Debt Financing;MX;Latin America;Accion Venture Lab COLABORATIVOx AngelHub VC MassChallenge Yara Growth Ventures
Exato Digital;Fraud Detection Identity Management Information Technology Risk Management Security;São Paulo Sao Paulo Brazil;Exato is a quick affordable and thorough background check platform that can be used by corporations startups and micro-entrepreneurs.;2023-06-13;3470000;2;Seed;BR;Latin America;Niu Ventures Bradesco BBI
Zenus Bank;Banking Blockchain Cryptocurrency Debit Cards Finance Financial Services FinTech Payments;San Juan NA - Puerto Rico Puerto Rico;Banking Beyond Borders;2020-12-15;3430000;2;Seed;PR;Latin America;
Licify;Construction Procurement SaaS;Bogotá Distrito Especial Colombia;Specialized procurment management platform that generates an efficient and transparent community with developers contractors and suppliers.;2023-07-26;3400000;2;Seed;CO;Latin America;Columbia University Accion Venture Lab Brick & Mortar Ventures Dash Fund G2 Momentum Capital
techreo;Financial Services FinTech;Mexico City Distrito Federal Mexico;Mobile App that offers financial services for the underbanked in LATAM;2024-02-06;3400000;2;Seed;MX;Latin America;Creation Investments Capital Management LLC G2 Momentum Capital
Legria;Real Estate;Santiago Region Metropolitana Chile;Legria is a operator of a real estate platform where co-owners can split the investment and maintenance costs.;2023-11-14;3400000;2;Debt Financing;CL;Latin America;Chile Ventures Daedalus Ventures Amarena Eduardo della Maggiora Ameris Capital
Finexpar;Credit Cards Debt Collections Financial Services Lending;Asunción Central Paraguay;Finexpar is a financial institution that provides loans savings facilities investment opportunities credit cards and debt collection.;2023-05-23;3400000;1;Debt Financing;PY;Latin America;MicroVest
Oriba;Apparel Fashion;São Paulo Sao Paulo Brazil;Oriba is a men's apparel brand that sells t-shirts kits accessories a terrestrial suit and other products.;2022-10-25;3385559;1;Corporate Round;BR;Latin America;Shoulder - Brasil
PEIEX Mato Grosso;;Cuiabá Mato Grosso Brazil;PEIEX offered by Apex-Brasil is the Export Qualification Program designed to help companies begin exporting in a planned and secure manner;2024-10-05;3353375;1;Grant;BR;Latin America;ApexBrasi Sebrae - SP
Enigma.art;Blockchain Marketplace Non-Fungible Token (NFT);Argentina Alajuela Costa Rica;NFT marketplace for artists and creators from Hispanic America to develop themselves.;2021-11-01;3310000;1;Seed;CR;Latin America;Ripio FJ Labs Firstminute Capital Newtopia VC Kalei Ventures
Alude;Database Real Estate Software;São Paulo Sao Paulo Brazil;Alude is a database company that simplifies the process of buying and leasing of real-estate.;2020-09-30;3300000;2;Seed;BR;Latin America;Y Combinator Global Founders Capital Norte Ventures Ribbit Capital MAYA Capital
Superfuds;B2B B2C Consumer Goods;Bogotá Distrito Especial Colombia;Superfüds is solving distribution for emerging brands in Latin America while helping mom & pop stores to earn more money;2020-12-22;3300000;5;Seed;CO;Latin America;Pareto Holdings Edward Lando Jon Oringer Bossanova Investimentos Nadav Ben-Chanoch
Niko Energy;;Mexico City Distrito Federal Mexico;provides residential solar electricity storage solutions and clean energy services to homeowners;2024-03-04;3300000;1;Seed;MX;Latin America;Picus Capital Adapt Ventures 468 Capital
Mamotest;Health Care;Mexico City Distrito Federal Mexico;AI Digital solution transforming care delivery by democratizing access to screening & diagnosis while providing efficient path to treatment.;2023-03-27;3300000;2;Seed;MX;Latin America;Merck Sonen Capital Merck Global Health Innovation Fund Johnson & Johnson Impact Ventures Sky High
Pulppo;PropTech Real Estate Software;Polanco Distrito Federal Mexico;Pulppo is the first Proptech that created a transparent and seamless buying process by empowering agents with tech tools and support.;2023-01-09;3300000;2;Seed;MX;Latin America;Latitud Y Combinator Boost Capital Goodwater Capital 1984 Ventures
Hubble Exchange;Blockchain Cryptocurrency;América Managua Nicaragua;Hubble Exchange is a decentralized platform on the Avalanche chain that aims to build a perpetual futures trading protocol on the chain.;2022-03-11;3300000;1;Seed;NI;Latin America;Framework Ventures Lemniscap Blizzard Fund Finlink Capital
Quaddro;Software;São Paulo Sao Paulo Brazil;The operating system for service and knowledge-based solopreneurs in Latin America;2022-08-17;3290555;1;Seed;BR;Latin America;Valor Capital Group NXTP Ventures MatterScale Ventures Bridge Latam Grão
Embarca AI;CRM Ticketing;Curitiba Parana Brazil;Embarca AI is a platform that allows users to book tickets online.;2022-10-10;3276540;1;Corporate Round;BR;Latin America;Princesa dos Campos Esmeralda
DigiCash Technology Venture;Finance Financial Services FinTech;Braz Sao Paulo Brazil;DigiCash Technology Venture is an online digital bank that provides financial stability and payments virtually.;2022-10-27;3237768;2;Venture - Series Unknown;BR;Latin America;
PIXmania.com;E-Commerce Photography;España Guayas Ecuador;Pixmania is a French-based e-commerce website promoting a variety of products in 14 European countries.;2023-03-06;3205964;3;Seed;EC;Latin America;FJ Labs Edward Lando Pareto Holdings Breega Xavier Niel
Clicksign;Communications Infrastructure Document Management E-Signature Information Technology Software;São Paulo Sao Paulo Brazil;Clicksign is a provider of an electronic document signature platform.;2022-12-28;3200000;2;Venture - Series Unknown;BR;Latin America;Headline Astella Sun Moritz SaaSholic Redpoint eventures
Carryt;Consumer Goods Logistics Transportation;Bogotá Distrito Especial Colombia;Carryt is an AI based logistics service for mass consumption eCommerce retail and medicine sectors.;2023-02-23;3200000;5;Series A;CO;Latin America;Katapult COLABORATIVOx Impacta VC Avalancha Ventures Auteco
Blu;Financial Services FinTech;Mexico City Distrito Federal Mexico;Blu is using big data and AI to underwrite the underbanked population in Mexico.;2022-08-03;3200000;2;Seed;MX;Latin America;Gate.io Outlier Ventures DoraHacks Fenbushi Capital Blockchange Ventures
Kamina;EdTech Financial Services FinTech;Quito Pichincha Ecuador;Kamina provides a prevention platform for financial institutions and leverages advanced technology and data analytics.;2024-03-01;3200000;1;Pre-Seed;EC;Latin America;
Cleanlight;CleanTech Energy Hardware Manufacturing Renewable Energy Solar;Santiago Region Metropolitana Chile;Cleantech Solar Energy Manufacturer;2023-09-02;3200000;3;Debt Financing;CL;Latin America;Newchip Accelerator Re Royalties
HYBRICO Energy Technologies;Clean Energy CleanTech Energy Energy Efficiency IaaS Renewable Energy Telecommunications;Guatemala City Guatemala Guatemala;Lowering energy costs for the telecom industry in emerging markets while creating a greener more connected future!;2023-12-06;3198334;7;Venture - Series Unknown;GT;Latin America;Wayra IDB Lab Acumen LatAm Impact Ventures FCP Emprendimiento e Innovación SP H-Reff
IZA;Finance Financial Services Insurance;São Paulo Sao Paulo Brazil;IZA is an insurance company.;2023-04-06;3162180;1;Venture - Series Unknown;BR;Latin America;
Clique Retire;E-Commerce Freight Service Logistics;Rio De Janeiro Rio de Janeiro Brazil;Clique Retire is a network company specializing in the operation of e-boxes (smart lockers) networks that offer logistics solutions.;2022-07-19;3139601;2;Private Equity;BR;Latin America;GLP San Carlos
Paketá;Financial Services FinTech;São Paulo Sao Paulo Brazil;Paketá is a fintech with a platform for managing and offering loans (payroll loans early wage access FGTS withdraw) to employees.;2023-01-30;3127198;5;Series A;BR;Latin America;Kinea Investimentos Ltda IOB Group Milenio Capital Shift Capital Itau Unibanco
Koggi;Artificial Intelligence (AI) FinTech Machine Learning Software;Bogotá Distrito Especial Colombia;koggi is a platform with artificial intelligence for mortgage credit applications.;2024-09-12;3100000;2;Venture - Series Unknown;CO;Latin America;Digital Innovation Group Second Century Ventures
Agrojusto;Agriculture AgTech Digital Marketing Food and Beverage Information Technology Software;Mendoza Mendoza Argentina;Agrojusto is a mobile application that connects small producers with the market.;2021-12-29;3100000;1;Seed;AR;Latin America;
