StartupName;Industries;HeadquartersLocation;Description;LastFundingDate;LastFundingAmount;NumberofFundingRounds;LastFundingType;StartupCountry;GeographyRegion;Top5Investors
Deskfy;Cloud Computing Marketing Marketing Automation SaaS Sales;São Leopoldo Rio Grande do Sul Brazil;Deskfy is a SaaS solution focused on optimizing daily processes for marketing teams.;2020-07-01;244467;4;Seed;BR;Latin America;ACE Ventures VENTIUR DMZ SaaSholic Diego Gomes
EPIC Digitais;Advertising Marketing Social Media;Rio De Janeiro Rio de Janeiro Brazil;EPIC Digitais is a corporate transmedia projects.;2023-04-12;243977;1;Angel;BR;Latin America;BR Angels
Fácil Consulta;Apps Health Care Scheduling Software;Pelotas Rio Grande do Sul Brazil;Fácil Consulta is a booking platform that allows people to schedule an appointment with a Specialist Physician in their area.;2022-08-26;242890;3;Seed;BR;Latin America;EqSeed WOW Aceleradora Rodrigo Dantas Eder Medeiros
Recicli;;Aracaju Sergipe Brazil;Recicli is a startup that operates in innovations and sustainability segments.;2024-04-10;240750;1;Seed;BR;Latin America;FEA Angels
Bastó;Consulting Infrastructure Software Sustainability;Córdoba Cordoba Argentina;Bastó is a dynamic virtual fence that manages a precision grazing system.;2021-12-10;240000;1;Seed;AR;Latin America;
Debiti;FinTech;Mexico City Distrito Federal Mexico;Global Multicurrency & Cross-border Payment Solution;2022-11-01;240000;1;Pre-Seed;MX;Latin America;Startupbootcamp The Batchery
Arbo Imóveis;Real Estate;Londrina Parana Brazil;We make the process easier for real estate developers and for those who want to sell rent or buy properties.;2020-08-10;237157;1;Seed;BR;Latin America;DOMO.VC Bossanova Investimentos
Quiron Digital;Agriculture AgTech Analytics B2B Forestry Government Software;Lages Santa Catarina Brazil;Quiron performs remote monitoring of protection that can devastate forests anywhere on the planet.;2022-08-15;237000;2;Pre-Seed;BR;Latin America;Anjos do Brasil G-Force
ChatClass;Artificial Intelligence (AI) EdTech Education Machine Learning;São Paulo Sao Paulo Brazil;ChatClass connects educators students and native speakers of English in order to improve access to quality education.;2022-07-21;236394;4;Grant;BR;Latin America;Google for Startups Canary Gvangels
EasyMD;Apps Health Care Telehealth;Managua Managua Nicaragua;Centralized digital health solutions;2022-08-10;235000;2;Pre-Seed;NI;Latin America;Newchip Accelerator Prota Ventures
Apê11;Information Technology Internet Marketplace Real Estate;São Paulo Sao Paulo Brazil;Apê11 is a digital real estate marketplace that helps buy and sell houses and apartments.;2020-02-14;232688;2;Seed;BR;Latin America;
How Bootcamps;Customer Service Education Training;Curitiba Parana Brazil;How Bootcamps is an education platform that provides training to build a career through live practical and short-term boot camps.;2021-11-04;232010;1;Angel;BR;Latin America;Matheus Detzel Bernert André Boaventura
Se Candidate mulher!;Employment Human Resources Recruiting Training;São Paulo Sao Paulo Brazil;Se Candidate mulher! focuses on female employability and helps companies to hire more women.;2022-09-02;231998;1;Seed;BR;Latin America;Bossanova Investimentos Larissa Janz
Favo Tecnologia;AgTech Information Services Information Technology;Paraná Espirito Santo Brazil;Favo Tecnologia develops tools designed to help sustainable urban development.;2021-09-03;231159;2;Angel;BR;Latin America;Anjos do Brasil Curitiba Angels HARDS
Cirkula;Apps Food and Beverage Mobile Apps Restaurants Software;Lima Lima Peru;Cirkula is a digital platform that allows the food industry to reduce their waste and value their surpluses.;2023-10-06;230000;2;Pre-Seed;PE;Latin America;Katapult
Yapoli;Asset Management Big Data Cloud Computing Computer Vision Digital Media Information Technology Marketing Automation SaaS;São Paulo Sao Paulo Brazil;B2B SaaS company that optimizes the management and distribution of digital files for the industry in a safe fast and measurable manner.;2022-06-30;228419;2;Pre-Seed;BR;Latin America;Bossanova Investimentos Darwin Startups Michel Mellis Carlos Adriano de Almeida
Katalista;Artificial Intelligence (AI) Content Discovery Education Generative AI Personal Branding;São Paulo Sao Paulo Brazil;Personal Branding Assistant;2022-04-01;225376;2;Angel;BR;Latin America;Investlaumat Hamilton Berteli Roberta Corrêa Mai Carvalho P. A.F.
Pymo;Funding Platform Social Impact;Mexico City Distrito Federal Mexico;PYMO is a B2B marketplace to find fund and monitor social and environmental impact projects.;2022-09-14;225000;1;Pre-Seed;MX;Latin America;
Payer;Commercial Financial Services Payments;Porto Alegre Rio Grande do Sul Brazil;Payer specializes in helping choosing and connecting the best payment methods and digital services for businesses.;2023-09-04;222780;1;Pre-Seed;BR;Latin America;VENTIUR Ventiur
ByMyCell;Bioinformatics Biopharma Biotechnology;Ribeirão Prêto Minas Gerais Brazil;ByMyCell is a biotechnology firm that offers metabolic engineering synthetic biology genomics sequenciament and bioinformatics services.;2023-08-22;222749;2;Grant;BR;Latin America;Fundação de Amparo à Pesquisa do Estado de SP
Sofi;Debt Collections Financial Services FinTech;São Paulo Sao Paulo Brazil;Sofi is a fintech that promote a healthy financial lifestyle.;2022-04-05;222000;6;Pre-Seed;BR;Latin America;Village Capital Anjos do Brasil ANII Bruno Rodrigues
Greening-e;Energy;España Guayas Ecuador;Greening-e is a renewable solutions company that specialises in the design development construction and maintenance of energy facilities.;2022-03-16;220434;1;Debt Financing;EC;Latin America;Cofides
NTU;Education Industrial Automation Robotics STEM Education Vocational Education;São Paulo Sao Paulo Brazil;NTU develops the DropS cloud robotics platform that enables the way people and technology connect to enhance to gain new knowledge.;2021-11-01;220000;3;Grant;BR;Latin America;Fundação de Amparo à Pesquisa do Estado de SP
Otimiza Benefícios;Employee Benefits Human Resources Mobile Payments Payments;Rio De Janeiro Rio de Janeiro Brazil;Corporate Benefits and Expenses Worktech. Web platform App and Mastercard card for companies and their employees throughout Brazil!;2021-11-12;219812;1;Equity Crowdfunding;BR;Latin America;
EnxadaHost;Cloud Data Services Consulting Data Center Web Hosting;Belo Horizonte Minas Gerais Brazil;Enxada Host is a company that provides full services within Minecraft servers and hosting services.;2023-10-01;218068;1;Pre-Seed;BR;Latin America;
VIVIS;PaaS PropTech Real Estate;Mexico City Distrito Federal Mexico;VIVIS transforms property transactions with an innovative platform aiming to eliminate fraud and enhance the real estate experience.;2024-07-22;217780;2;Seed;MX;Latin America;Startupbootcamp
ContaJÁ;Accounting Consulting Financial Services;Minas Gerais Acre Brazil;ContaJÁ is an accounting service all online with real accountants.;2021-10-14;217640;1;Venture - Series Unknown;BR;Latin America;CapTable
