Beeing Company;Analytics Food Processing Genetics;Valdivia Los Rios Chile;Beeing Company is a company base to innovation in beekeeping specifically in genetics for preservation honey bee;2023-09-03;100000;1;PreSeed;Private;CL;
Biwiser;Analytics Information Technology Service Industry;Vitacura Region Metropolitana Chile;Biwiser offers BI analytics optimized planning and advanced analytics services;2023-09-04;161540;1;Equity Crowdfunding;Private;CL;
Luna Pets;Marketplace Pet;Santiago Region Metropolitana Chile;Luna Pets is making pet care more accessible through their marketplace for trusted pet sitters dog walkers trainers and veterinarians;2023-09-22;25000;1;PreSeed;Private;CL;
Gohaus;ECommerce Marketplace PropTech Retail Technology;Santiago Region Metropolitana Chile;Gohaus is an AIpowered platform designed to streamline the furnishing process for both companies and consumers;2023-10-01;170000;2;PreSeed;Private;CL;Techstars StartUp Chile CORFO Davila y Cia Limitada Fabec SpA
Krino;Analytics Artificial Intelligence (AI) Big Data;Concepcion BioBio Chile;Krino is a data processing analysis and artificial intelligencefocused company that optimizes processes and decisionmaking;2023-10-01;100000;3;PreSeed;Private;CL;Newchip Accelerator Inmobiliaria Madesal
Galgo;Financial Services FinTech;Santiago Region Metropolitana Chile;Galgo provides consumer secured loans and financial advice to underbanked people;2023-10-10;40000000;6;Venture  Series Unknown;Private;CL;Fen Ventures WIND Ventures Nazca Ventures Dalus Capital Kayyak Ventures
TIMining;Data Integration Software;Santiago Region Metropolitana Chile;TIMining is offers stateoftheart software for the mining industry from load and haul simulation to holographic technology;2023-10-13;10000000;3;Series B;Private;CL;Komatsu Kayyak Ventures Aurus ChileGlobal Ventures Alpha Future Funds
Teambit;B2B Information Technology Internet of Things SaaS;Santiago Region Metropolitana Chile;Teambit is a software company that offers platform to measure and manage the performance of engineering teams;2023-10-14;260000;1;PreSeed;Private;CL;Platanus
Winston;Artificial Intelligence (AI) EdTech Human Resources Information Technology Personal Development;Santiago Region Metropolitana Chile;Winston is an EdTech company that uses AI and technology to offer coaching services for organizational changes and individual development;2023-10-14;100000;1;Angel;Private;CL;Platanus
Valuelist;Asset Management Financial Services Stock Exchanges;Las Condes Region Metropolitana Chile;Valuelist specializes in investment mutual funds cryptocurrency bonding financial and pension planning services;2023-10-16;600000;1;PreSeed;Private;CL;Synapse XTL
